state,state_local_tax_burden_per_capita,taxes_paid_to_own_state_per_capita,taxes_paid_to_other_states_per_capita
 Alabama ,4585,3578,1007
 Alaska ,2943,1527,1416
 Arizona ,5156,3997,1159
 Arkansas ,5031,3598,1433
 California ,10167,8711,1457
 Colorado ,6699,5010,1689
 Connecticut ,12151,9883,2268
 Delaware ,7170,5580,1591
 District  of  Columbia ,11654,9060,2594
 Florida ,5406,3533,1873
 Georgia ,4862,3711,1151
 Hawaii ,8410,7082,1328
 Idaho ,5402,4140,1262
 Illinois ,8390,6866,1523
 Indiana ,5030,3965,1064
 Iowa ,6086,4812,1274
 Kansas ,6353,4971,1382
 Kentucky ,4669,3679,990
 Louisiana ,4762,3705,1056
 Maine ,6906,5712,1194
 Maryland ,7680,5940,1740
 Massachusetts ,9405,7565,1840
 Michigan ,4720,3595,1125
 Minnesota ,7763,6316,1448
 Mississippi ,4220,3422,798
 Missouri ,4953,3666,1287
 Montana ,5795,4200,1595
 Nebraska ,6720,5327,1393
 Nevada ,5554,3932,1622
 New  Hampshire ,6593,4784,1809
 New  Jersey ,9648,7696,1952
 New  Mexico ,4835,3859,977
 New  York ,12083,10380,1702
 North  Carolina ,5299,4156,1143
 North  Dakota ,5403,3800,1603
 Ohio ,5530,4380,1149
 Oklahoma ,4527,3380,1148
 Oregon ,6572,5191,1381
 Pennsylvania ,6723,5354,1369
 Rhode  Island ,6948,5273,1675
 South  Carolina ,4596,3365,1231
 South  Dakota ,5196,3526,1670
 Tennessee ,4036,3082,954
 Texas ,4994,3849,1146
 Utah ,6750,5346,1404
 Vermont ,7958,6532,1426
 Virginia ,7979,6367,1612
 Washington ,7803,6069,1734
 West  Virginia ,4479,3444,1034
 Wisconsin ,6231,4911,1320
 Wyoming ,4691,2647,2045
